Great product and fast delivery by Amazon,"
  It is not same as previous version. visually it looks same but it is much faster and Siri works great if you like running and other sports activities . I would say buy this version it is more useful
",5.0 out of 5 stars,Emilio Aguinaldo
"Definitely worth the money, if you're an apple loyalist (ex. Apple music, iPhone, Watch, etc...)","
  I was on the fence for a while on buying airpods. I recommend buying airpods if you have an apple watch and iPhone. It connects very well for both devices and is fluid if you switch between both of them.",5.0 out of 5 stars,Isabel Jara
Lucky me,"
  When I got the headphones, I thought the headphones that on the left were broken. Fortunately, I finally found that I was deaf.
",5.0 out of 5 stars,Albert jing
Not worth the price,"
  I really wanted to like these earbuds/airpods but alas no go. The battery life was zilch. And the connection to my iphone kept dropping everytime I was a short distance away from the phone. Tech support was no help. The person kept having me do the same thing expecting difference results.. epic fail there. I am now using my husbands $5.00 dollar headphones which sucks, but at least I can listen to music. I am dissapointed in apple.
",1.0 out of 5 stars,jujutsu Joy
Used and Gross,"
  Recently purchased this item. It didn’t say anything about being used or refurbished which is misleading. Product came without the proper packaging and the product itself wasn’t even cleaned (which is gross considering this was in someone else’s ears). Just buy straight from Apple and save yourself the frustration.
",1.0 out of 5 stars,Trh1226
Great battery and noise cancellation,"
  Noticeably better than the previous generation in sound quality. The 2nd one feels to work the same, but the audio quality is noticeable. Where the 1st was very mediocre and had no bass or great mid, the 2nd is a quite a bit better at (and I think louder but not sure if my comparison 1st gen has issues).",5.0 out of 5 stars,jmn27
Help,"
  The wireless AirPods were not in the box.  A white air pod box was in the box but wax empty.  I also had cancelled this order as it was too long to wait for it.
",5.0 out of 5 stars,pfod
Not recommend it to anyone,"
  I don't recommend these things. Comparing to the ones I got from Costco. The only ""advantage"" to this one is the Price.
",2.0 out of 5 stars,Mike
Just buy directly from Apple,"
  Returned these because they looked like they had been used and honestly look like they were fake. Don’t know if they were a defect or if someone had swapped them out before I got them. I advise you to buy direct from Apple if you want to avoid this problem.
",1.0 out of 5 stars,Faris Ziyad
Finiky Wireless Charging,"
  As everyone may know the AirPods offer underwhelming sound for the money, but they offer one thing convenience.",2.0 out of 5 stars,James Smith
Muy buena compra,"
  Son geniales y originales. No tengo ninguna queja con mi compra.
",5.0 out of 5 stars,Guido Zambrano Torre
Not AirPods in box!,"
  These were not AirPods. The box was Apple air pods but inside were not AirPods. They were dogaye. I bought this for my daughter as a birthday present and was extremely disappointed.
",1.0 out of 5 stars,Stephanie M. Fritzen
I don’t think they’re worth the price/hype.,"
  I think i got a defective pair. I had to",3.0 out of 5 stars,Chanice
I mean they’re AirPods...,"
  My first time using AirPods and with my honest opinion it’s very convenient but for the price I’d expect more out of the sound quality. Calling is awesome though I’d rate it 5-stars just on calling. Same day shipping!!!!!!!",1.0 out of 5 stars,Tommy Vo
